CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
-0.1168289107,250.233383906,15.9,12.07,9.88,0.57,0.2,0.28,0.55,0.35,0.51,1.41,6.51,8.8,3.04
-0.2267633972,177.081013383,17.65,19.33,15.66,0.09,0.1,0.31,0.87,0.22,1,3.64,3.14,7.25,1.01
-0.2167745043,156.245929709,6.83,4.64,6.67,0.79,0.36,0.88,0.63,0.73,0.3,1.93,5.71,1.47,1.71
-0.353065732,243.808219088,2.82,16.76,2.93,0.2,0.54,0.57,0.78,0.74,0.36,3.88,1.52,3.21,2.65
0.0054719362,169.99304015,12.33,13.73,1.17,0.28,0.97,0.72,0.91,0.32,0.28,9.03,7.09,8.1,2.98
0.0043673921,180.443532065,6.8,19.91,13.74,0.96,0.63,0.01,0.4,0.55,0.47,9.28,3.76,4.48,1.13
0.0211249359,313.027480371,10.23,1.67,19.86,0.35,0.61,0.6,0.44,0.65,0.98,6.45,4.62,9.22,1.42
0.1251409183,228.623084234,18.41,1.24,11.05,0.09,0.72,0.05,0.61,0.3,0.32,5.23,2.28,5.25,1.88
0.3057636373,186.237615072,8.39,0.5,16.32,0.62,0.64,0.82,0.38,0.86,0.93,9.77,5.89,6.98,3.08
0.1894696262,154.442256003,6.46,7.07,19.74,0.87,0.12,0.08,0.25,0.6,0.46,2.82,9.78,4.33,2.2
0.1792451313,170.472436281,14.5,18.34,0.68,0.64,1,0.17,0.53,0.97,0.38,3.08,3.63,4.21,3.23
-0.0553381877,202.592275209,7.75,6.17,11.19,0.79,0.65,0.3,0.99,0.82,0.82,8.97,5.57,3.41,3.69
-0.0815554757,222.953825351,18.52,19.98,12.45,0.37,0.26,0.11,0.43,0.36,0.73,6.06,8.69,3.66,3.4
-0.0318111804,176.581782254,18.99,3,16.93,0.9,0.28,0.66,0.23,0.25,0.98,5.69,3.83,2.89,3.36
0.2400109781,166.968175262,16.38,16.72,3.85,0.22,0.22,0.39,0.28,0.47,0.55,7.63,3.73,8.84,3.28
-0.3241918136,198.48694973,3.63,1.95,3.15,0.14,0.96,0.6,0.82,0.63,0.26,3.15,1.25,2.5,1.4
0.0008873759,86.2427503396,0.37,0.95,4.19,0.52,0.53,0.85,0.6,0.31,0.37,8.06,1.37,7.54,3.99
-0.0102958184,153.502511463,1.76,11.71,12.29,0.86,0.35,1,0.29,0.26,0.21,5.4,2.25,1.81,1.3
0.2506578807,134.915358936,11.77,7.58,2.8,0.78,0.27,0.55,0.51,0.35,0.9,5.89,7.45,7.34,2.79
-0.0627080327,197.580338811,15.65,0.37,6.79,0.9,0.61,0.53,0.38,0.8,0.85,8.12,4.41,5.83,1.16
0.0894243448,143.995147744,17.13,14.02,10.24,0.53,0.5,0.83,0.42,0.97,0.3,7.34,4.49,8.34,3.09
-0.0445505406,157.202234256,3.52,11.51,12.19,0.99,0.79,0.13,0.27,0.87,0.74,5.15,3.58,4.18,1.25
0.3071251393,163.150592973,8.67,10.84,7.55,0.41,0.89,0.66,0.84,0.23,0.53,3.92,8.8,3.04,3.47
0.1788371012,161.020136837,6.02,15.19,15.29,0.46,0.11,0.41,0.56,0.41,0.8,2.65,3.87,8.43,3.04
0.2368635393,223.455972904,1.95,12.72,3.73,0.65,0.62,0.63,0.24,0.48,0.55,3.35,4.29,9.28,1.76
-0.2850759331,377.83956531,1.27,18.57,0.61,0.19,0.85,0.37,0.73,0.67,0.54,6.11,4.55,3.34,1.64
-0.0114775183,228.933786076,7.41,10.94,16.67,0.01,0.36,0.46,0.3,0.41,0.25,4.56,9.57,1.24,1.52
-0.0848764241,214.961044197,17.25,12.9,13.31,0.32,0.01,0.08,0.6,0.99,0.76,8.83,8.88,3.12,3.59
0.280498027,201.15953343,17.1,0.83,12.77,0.31,0.33,0.25,0.72,0.98,0.36,6.48,5.4,8.74,1.89
-0.2284676217,421.442664397,7.12,3.68,6.11,0.93,0.24,0.73,0.97,0.65,0.68,6.61,1.08,5.67,1.87
-0.2983254989,275.807499,10.65,4.84,7.61,0.05,0.77,0.37,0.58,0.61,0.89,6.74,5.23,2.22,3.25
-0.1557353854,225.690834469,13.92,15.47,16.3,0.43,0.07,0.36,0.27,0.34,0.89,1.11,4.36,1.32,1.13
-0.2542347355,214.722348505,15.5,15.89,13.17,0.11,0.05,0.05,0.94,0.69,0.91,9.81,2.03,6.33,2.28
-0.2549559452,214.366133247,13.33,9.31,17.26,0.71,0.51,0.41,0.21,0.46,0.22,8.99,8.74,6.16,3.63
0.0067562143,154.937010441,17.83,4.73,3.27,0.51,0.09,0.78,0.75,0.78,0.43,7.84,6.9,5.74,1.23
-0.1996678304,198.050227161,0.68,8.6,8.33,0.95,0.02,0.77,0.33,0.32,0.77,1.87,2.97,9.74,3.93
-0.1769497133,220.487423703,13.4,13.92,7.05,0.39,0.71,0.7,0.67,0.7,0.86,7.28,6.13,6.65,1.45
-0.2813117548,371.020559095,18.66,8.23,17.47,0.95,0.4,0.25,0.85,0.52,0.94,3.6,1.94,2.86,1.48
-0.093281883,155.104251845,12.19,18.07,14.43,0.56,0.51,0.69,0.24,0.67,0.67,4.7,1.76,7.71,2.96
0.1450414274,138.405346282,16.88,17.24,14.89,0.75,0.23,0.86,0.5,0.83,0.42,4.3,8.08,3.72,2.9
0.249582772,206.666440104,18.89,3.48,5.39,0.17,0.86,0.83,0.52,0.85,0.36,6.65,6.81,1.7,1.95
-0.1194544195,205.568868048,1.65,15.52,9.58,0.92,0.72,0.27,0.68,0.94,0.99,9.38,7.57,6.28,3.11
-0.3359155222,328.042230168,12.85,16.49,6.29,0.02,0.52,0.5,0.75,0.54,0.62,4.33,6.38,5.88,2.08
-0.0906781526,206.009562444,18.23,19.71,11.59,0.36,0.42,0.61,0.27,0.56,0.41,4.48,6.22,9.52,1.21
0.4206950381,299.93378725,9.41,5.67,8.04,0.56,0.78,0.69,0.52,0.56,0.74,9.23,3.98,9.59,2.68
-0.2669261898,235.63257351,9.76,16.61,15.58,0.02,0.23,0.19,0.85,0.22,0.23,8.06,1.87,5.93,1.19
-0.3474576882,303.769633602,2.94,2.28,19.23,0.5,0.17,0.1,0.34,0.95,0.73,5.75,6.43,6.02,2.23
0.4132134207,101.435396062,9.31,1.33,12.96,0.97,0.28,0.56,0.86,0.83,0.4,2.37,5.9,1.35,3.94
-0.0267454805,239.801222258,7.56,12.58,8.29,0.82,0.99,0.94,0.36,0.93,0.58,5.99,8.25,3.88,3.45
0.0396648107,183.452298054,13.56,16.03,10.4,0.17,0.94,0.12,0.33,0.21,0.6,8.8,9.63,3.69,2.37
-0.0824337196,197.853097054,15.16,16.1,11.32,0.4,0.24,0.24,0.98,0.99,0.68,5.93,2.74,8.36,3.89
-0.2173051731,264.095186399,18.77,0.3,4.72,0.43,0.52,0.31,0.71,0.24,0.91,5.59,8.4,2.63,1.32
-0.3615963729,354.036254001,5.9,2.33,19.98,0.39,0.39,0.17,0.87,0.44,0.94,7.66,1.49,1.58,2.05
-0.2122735877,327.290969697,13.6,9.27,2.09,0.98,0.9,0.75,0.95,0.45,0.83,7.98,2.42,2.92,2.14
0.0032163542,147.89969364,0.59,4.39,1.79,0.92,0.72,0.09,0.77,0.42,0.6,5.28,4.83,2.98,1.07
0.2160884239,245.73755343,1.44,17.8,5.55,0.39,0.05,0.63,0.39,0.21,0.45,3.99,2.61,7.38,2
-0.0662457357,209.120922267,4.48,2.43,11.49,0.71,0.13,0.48,0.92,0.79,0.58,5.01,8.15,1.64,1.86
-0.2096730354,194.536697434,5.11,7.68,1.27,0.05,0.48,0.4,0.81,0.26,0.21,2.44,1.59,5.3,2.53
0.0006004892,186.249878385,12.72,1.7,15,0.73,0.49,0.65,0.21,0.84,0.99,3.21,7.33,1.08,2.98
0.0318355152,228.568142709,7.02,12.37,10.92,0.42,0.61,0.06,0.35,0.21,0.66,8.28,6.35,9.88,2.87
-0.0623639892,144.440705127,16.13,9.47,17.88,0.52,0.91,0.52,0.7,0.81,0.56,2.62,5.77,5.82,2.61
-0.2010999745,198.478363601,3.14,18.09,4.83,0.17,0.16,0.91,0.88,0.78,0.63,7.01,6.77,9.1,2.69
-0.0997129124,167.32877112,14.33,8.31,1.33,0.38,0.8,0.02,0.31,0.86,0.69,5.18,9.31,4.35,2.08
-0.0213643257,90.7101581988,15.24,13.14,19.18,0.6,0.52,0.19,0.32,0.42,0.22,3.52,9.92,2.16,1.15
-0.1870670481,332.294572271,8.96,6.73,1.91,0.14,0.19,0.87,0.88,0.96,0.75,4.22,1.85,9.7,3.18
0.1695785963,161.552118385,15.59,4.06,3,0.45,0.39,0.06,0.56,0.31,0.96,7.56,3.95,3.94,1.78
-0.2248782838,157.214712761,15.69,12.97,13.66,0.06,0.41,0.33,0.76,0.64,0.84,4.14,7.54,8.09,1.39
0.1985826661,159.687332769,0.89,7.17,6.45,0.83,0.51,0.96,0.25,0.75,0.29,7.07,3.44,8.7,2.91
