x,y,z
-20.468,-21.076,236.24
-20.089,-22.428,237.14
-19.71,-23.781,238.04
-18.798,-22.842,239.07
-20.144,-22.586,240.02
-19.232,-21.647,241.06
-21.056,-23.525,238.99
-21.28,-18.528,237.33
-21.814,-20.82,237.2
-21.435,-22.172,238.09
-18.698,-19.355,241.19
-17.941,-22.06,242.99
-18.753,-19.513,244.08
-20.199,-22.744,242.91
-21.545,-22.488,243.86
-18.808,-19.67,246.96
-15.304,-22.73,243.97
-16.595,-22.316,242.04
-15.682,-21.377,243.07
-16.061,-20.025,242.17
-16.973,-20.964,241.14
-17.507,-23.255,241
-17.128,-24.608,241.9
-16.216,-23.669,242.93
-17.562,-23.413,243.89
-16.65,-22.474,244.92
-18.474,-24.352,242.85
-18.853,-22.999,241.96
-16.116,-20.182,245.06
-19.51,-16.808,242.28
-22.148,-16.138,241.3
-19.565,-16.965,245.17
-16.006,-19.867,239.29
-16.818,-17.32,240.38
-19.455,-16.65,239.4
-16.873,-17.477,243.26
-42.428,-18.958,245.59
-43.34,-19.897,244.55
-43.719,-18.544,243.66
-42.806,-17.605,244.69
-41.894,-16.666,245.72
-41.515,-18.019,246.62
-39.202,-17.178,243.82
-41.027,-19.056,241.75
-40.648,-20.409,242.65
-41.839,-16.509,242.84
-42.373,-18.8,242.7
-40.548,-16.922,244.77
-41.994,-20.153,243.6
-43.185,-16.253,243.79
-44.097,-17.192,242.76
-44.476,-15.839,241.86
-43.564,-14.9,242.89
-42.651,-13.961,243.93
-42.273,-15.314,244.83
-39.147,-17.02,240.93
-39.581,-15.825,242.92
-39.959,-14.473,242.02
-41.784,-16.351,239.95
-41.405,-17.704,240.85
-42.596,-13.804,241.04
-43.13,-16.095,240.91
-41.305,-14.217,242.97
-42.751,-17.448,241.81
-40.927,-15.57,243.87
-39.691,-16.141,248.69
-40.069,-14.788,247.79
-40.982,-15.727,246.76
-42.328,-15.471,247.71
-43.24,-16.41,246.68
-41.415,-14.532,248.74
-42.861,-17.763,247.57
-41.037,-15.885,249.64
-36.999,-16.652,246.78
-37.236,-15.198,245.91
-38.29,-16.239,244.85
-39.636,-15.983,245.8
-38.723,-15.044,246.84
-38.345,-16.396,247.73
-37.043,-19.981,241.78
-36.131,-19.042,242.81
-36.51,-17.69,241.91
-37.422,-18.629,240.88
-38.335,-19.568,239.84
-37.956,-20.92,240.74
-39.681,-19.312,240.8
-37.856,-17.434,242.86
-39.302,-20.665,241.69
-37.801,-17.276,239.98
-36.889,-16.337,241.01
-37.267,-14.985,240.12
-38.18,-15.924,239.08
-39.092,-16.863,238.05
-38.713,-18.215,238.95
-39.904,-14.315,239.14
-40.438,-16.607,239
-38.613,-14.729,241.07
-40.059,-17.959,239.9
-38.235,-16.081,241.97
-34.307,-17.164,244.88
-34.753,-18.252,244.54
-34.685,-15.812,243.98
-35.237,-17.446,244.84
-34.875,-17.75,244.23
-35.579,-16.779,244.37
-35.439,-16.588,243.12
-35.049,-17.373,243.89
-35.598,-16.751,242.94
-35.219,-18.103,243.84
-36.944,-16.495,243.9
-35.956,-16.196,243.93
-36.031,-15.556,244.93
-36.37,-15.905,244.55
-36.188,-16.229,244.89
-35.705,-16.962,245.77
-35.943,-17.272,247.38
-36.227,-16.419,246.81
-43.942,-13.548,242
-44.855,-14.487,240.96
-45.234,-13.134,240.06
-44.321,-12.195,241.1
-43.409,-11.256,242.13
-43.03,-12.609,243.03
-40.338,-13.12,241.12
-40.717,-11.768,240.23
-42.541,-13.646,238.16
-42.163,-14.998,239.06
-43.354,-11.098,239.25
-43.888,-13.39,239.11
-42.063,-11.512,241.18
-43.509,-14.743,240.01
-41.684,-12.864,242.08
-44.7,-10.843,240.2
-45.612,-11.782,239.17
-45.991,-10.429,238.27
-45.079,-9.49,239.3
-44.166,-8.551,240.34
-43.788,-9.9035,241.23
-40.662,-11.61,237.34
-41.096,-10.415,239.33
-41.474,-9.0628,238.43
-42.387,-10.002,237.4
-43.299,-10.941,236.36
-42.92,-12.293,237.26
-43.733,-9.7459,238.35
-44.645,-10.685,237.32
-42.82,-8.8069,239.38
-44.266,-12.038,238.21
-41.529,-9.2203,241.31
-41.584,-9.3779,244.2
-41.963,-8.0254,243.3
-42.342,-6.6728,242.4
-42.497,-10.317,243.16
-43.843,-10.061,244.12
-42.93,-9.122,245.15
-44.755,-11,243.08
-44.979,-6.0035,241.42
-45.512,-8.295,241.29
-43.688,-6.4169,243.36
-45.134,-9.6476,242.19
-43.309,-7.7694,244.25
-38.892,-9.8897,242.29
-40.183,-9.4763,240.36
-39.271,-8.5372,241.39
-39.65,-7.1847,240.5
-40.562,-8.1237,239.46
-39.805,-10.829,241.26
-41.151,-10.573,242.21
-40.238,-9.6338,243.25
-42.287,-6.5153,239.52
-40.996,-6.9288,241.45
-40.617,-8.2813,242.35
-38.558,-14.571,238.18
-37.646,-13.632,239.22
-38.025,-12.28,238.32
-38.937,-13.219,237.29
-39.849,-14.158,236.25
-39.471,-15.51,237.15
-41.195,-13.902,237.21
-39.371,-12.024,239.27
-40.817,-15.254,238.1
-38.992,-13.376,240.17
-39.316,-11.866,236.39
-38.404,-10.927,237.42
