P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
27.5,7.25,13,18,0.85035,1.01,6.9799,4.0892,11.143
30,6.25,9,10,0.84699,1.5696,8.8189,6.7235,19.289
30,6.25,9,11,0.85138,1.5541,8.7706,6.4387,19.538
30,6.25,9,12,0.85458,1.5412,8.7313,6.263,19.655
30,6.25,9,13,0.85647,1.5322,8.6983,6.1156,19.79
30,6.25,9,14,0.85634,1.3206,8.2363,5.294,14.305
30,6.25,10,11,0.85231,1.553,8.7437,6.4668,19.665
30,6.25,10,12,0.85492,1.5411,8.7163,6.2665,19.762
30,6.25,10,13,0.85651,1.5324,8.6932,6.1138,19.842
30,6.25,10,14,0.85626,1.3246,8.2481,5.3064,14.363
30,6.25,10,15,0.85503,1.2211,7.9816,4.9115,12.919
30,6.25,11,12,0.8554,1.5393,8.7021,6.2335,19.891
30,6.25,11,13,0.85662,1.5319,8.6861,6.0989,19.914
30,6.25,11,14,0.85629,1.3208,8.2389,5.2893,14.306
30,6.25,11,15,0.85503,1.2333,8.016,4.9715,13.021
30,6.25,11,16,0.85382,1.188,7.8816,4.7876,12.592
30,6.25,12,13,0.85674,1.5307,8.6786,6.0538,20.043
30,6.25,12,14,0.85622,1.2982,8.1848,5.2126,13.919
30,6.25,12,15,0.85504,1.235,8.0206,4.9779,13.037
30,6.25,12,16,0.85424,1.2066,7.938,4.8682,12.745
30,6.25,12,17,0.85366,1.1908,7.8884,4.8039,12.612
30,6.25,13,14,0.85451,1.2145,7.9614,4.8963,12.82
30,6.25,13,15,0.85451,1.2145,7.9614,4.8963,12.82
30,6.25,13,16,0.85451,1.2145,7.9614,4.8963,12.82
30,6.25,13,17,0.85451,1.2145,7.9614,4.8963,12.82
30,6.25,13,18,0.85451,1.2145,7.9614,4.8963,12.82
30,6.5,9,10,0.84541,1.5972,8.9022,6.851,19.82
30,6.5,9,11,0.84981,1.582,8.8499,6.5882,20.145
30,6.5,9,12,0.85296,1.5696,8.8074,6.4295,20.372
30,6.5,9,13,0.85471,1.5613,8.7717,6.3031,20.693
30,6.5,9,14,0.85527,1.3302,8.2721,5.4214,14.267
30,6.5,10,11,0.85053,1.5824,8.8193,6.6639,20.39
30,6.5,10,12,0.85316,1.5705,8.7889,6.4757,20.607
30,6.5,10,13,0.85468,1.562,8.7635,6.3276,20.778
30,6.5,10,14,0.85526,1.3305,8.2734,5.4207,14.272
30,6.5,10,15,0.85449,1.217,7.9797,4.9911,12.748
30,6.5,11,12,0.85348,1.5696,8.7724,6.4572,20.838
30,6.5,11,13,0.85469,1.5621,8.7544,6.3251,20.898
30,6.5,11,14,0.85534,1.3218,8.2519,5.3948,14.127
30,6.5,11,15,0.85446,1.2243,8.0011,5.0273,12.822
30,6.5,11,16,0.85341,1.1751,7.8501,4.826,12.334
30,6.5,12,13,0.85468,1.5614,8.7453,6.2758,21.056
30,6.5,12,14,0.85536,1.2913,8.178,5.256,13.649
30,6.5,12,15,0.85441,1.2201,7.9891,5.0095,12.782
30,6.5,12,16,0.85366,1.1889,7.8942,4.8867,12.442
30,6.5,12,17,0.8531,1.1718,7.8372,4.8146,12.292
30,6.5,13,14,0.85375,1.1911,7.901,4.8956,12.467
30,6.5,13,15,0.85375,1.1911,7.901,4.8956,12.467
30,6.5,13,16,0.85375,1.1911,7.901,4.8956,12.467
30,6.5,13,17,0.85375,1.1911,7.901,4.8956,12.467
30,6.5,13,18,0.85375,1.1911,7.901,4.8956,12.467
30,6.75,9,10,0.84362,1.6244,8.9755,6.954,20.329
30,6.75,9,11,0.84802,1.6096,8.9196,6.7178,20.788
30,6.75,9,12,0.85109,1.5978,8.8741,6.5716,21.158
30,6.75,9,13,0.85269,1.5903,8.8358,6.4693,21.433
30,6.75,9,14,0.85388,1.3408,8.3002,5.5461,14.268
30,6.75,10,11,0.84849,1.6119,8.8853,6.8315,21.216
30,6.75,10,12,0.85109,1.6001,8.8522,6.6511,21.412
30,6.75,10,13,0.85252,1.5921,8.8245,6.5204,21.593
30,6.75,10,14,0.85391,1.3376,8.2905,5.5397,14.207
30,6.75,10,15,0.85361,1.2147,7.9701,5.0653,12.565
30,6.75,11,12,0.8512,1.6005,8.8332,6.671,21.674
30,6.75,11,13,0.85236,1.593,8.8132,6.5357,21.776
30,6.75,11,14,0.85404,1.3239,8.2557,5.4804,13.988
30,6.75,11,15,0.85359,1.217,7.9772,5.0749,12.611
30,6.75,11,16,0.85273,1.1646,7.8097,4.8576,12.115
30,6.75,12,13,-Inf,1.5465,10.544,7.1301,14.054
30,6.75,12,14,0.8542,1.2851,8.1602,5.3209,13.421
30,6.75,12,15,0.85352,1.2066,7.9466,5.0273,12.515
30,6.75,12,16,0.85285,1.1732,7.8392,4.898,12.187
30,6.75,12,17,0.85231,1.1554,7.7747,4.8245,12.033
30,6.75,13,14,0.85277,1.1695,7.826,4.8792,12.152
30,6.75,13,15,0.85277,1.1695,7.826,4.8792,12.152
30,6.75,13,16,0.85277,1.1695,7.826,4.8792,12.152
30,6.75,13,17,0.85277,1.1695,7.826,4.8792,12.152
30,6.75,13,18,0.85277,1.1695,7.826,4.8792,12.152
30,7,9,10,0.84172,1.651,9.0406,7.0648,20.861
30,7,9,11,0.84608,1.6368,8.9812,6.8301,21.482
30,7,9,12,0.84904,1.6258,8.9327,6.6969,21.829
30,7,9,13,0.85047,1.6192,8.892,6.6198,22.164
30,7,9,14,0.85223,1.3523,8.322,5.6561,14.33
30,7,10,11,0.84624,1.6411,8.9434,6.9675,21.935
30,7,10,12,0.8488,1.6297,8.9075,6.8059,22.195
30,7,10,13,0.8501,1.6222,8.8776,6.687,22.448
30,7,10,14,0.85227,1.3456,8.3008,5.6547,14.227
30,7,10,15,0.85244,1.2142,7.9546,5.1466,12.484
30,7,11,12,0.84864,1.6315,8.8861,6.8723,22.559
30,7,11,13,0.84972,1.6242,8.864,6.7352,22.735
30,7,11,14,0.85244,1.327,8.2521,5.5798,13.951
30,7,11,15,0.85245,1.2114,7.9463,5.1345,12.453
30,7,11,16,0.85181,1.1566,7.7626,4.8799,11.88
30,7,12,13,0.84931,1.6254,8.8518,6.7416,23.094
30,7,12,14,0.85276,1.2797,8.1342,5.3774,13.309
30,7,12,15,0.85242,1.1949,7.8954,5.0539,12.281
30,7,12,16,0.85185,1.1601,7.7754,4.8956,11.907
30,7,12,17,0.85134,1.142,7.7034,4.8114,11.782
30,7,13,14,0.85163,1.1508,7.7394,4.8572,11.835
30,7,13,15,0.85163,1.1508,7.7394,4.8572,11.835
30,7,13,16,0.85163,1.1508,7.7394,4.8572,11.835
30,7,13,17,0.85163,1.1508,7.7394,4.8572,11.835
30,7,13,18,0.85163,1.1508,7.7394,4.8572,11.835
30,7.25,9,10,0.83974,1.6768,9.0986,7.1542,21.406
30,7.25,9,11,0.84404,1.6634,9.0359,6.9355,22.01
30,7.25,9,12,0.84688,1.6531,8.9846,6.8251,22.43
30,7.25,9,13,0.84812,1.6475,8.9415,6.7587,22.918
30,7.25,9,14,0.85038,1.3643,8.3386,5.762,14.397
30,7.25,10,11,0.84387,1.6699,8.9945,7.0896,22.59
30,7.25,10,12,0.84635,1.6589,8.956,6.9405,22.936
30,7.25,10,13,0.8475,1.6522,8.9239,6.8404,23.317
30,7.25,10,14,0.85039,1.3545,8.306,5.7605,14.256
30,7.25,10,15,0.85104,1.2153,7.9348,5.2297,12.512
30,7.25,11,12,0.84589,1.6625,8.9322,7.0427,23.43
30,7.25,11,13,0.84687,1.6555,8.9081,6.9206,23.722
30,7.25,11,14,0.85059,1.3309,8.2429,5.6849,13.944
30,7.25,11,15,0.8511,1.2076,7.91,5.1874,12.429
30,7.25,11,16,0.85069,1.1512,7.7106,4.8966,11.761
30,7.25,12,13,0.84619,1.6579,8.8942,6.9565,24.194
30,7.25,12,14,0.8511,1.2755,8.1014,5.4598,13.252
30,7.25,12,15,0.85113,1.1854,7.8376,5.0809,12.151
30,7.25,12,16,0.85068,1.1499,7.7051,4.8924,11.744
30,7.25,12,17,0.85022,1.1321,7.6255,4.7979,11.599
30,7.25,13,14,0.85035,1.1359,7.6439,4.8192,11.617
30,7.25,13,15,0.85035,1.1359,7.6439,4.8192,11.617
30,7.25,13,16,0.85035,1.1359,7.6439,4.8192,11.617
30,7.25,13,17,0.85035,1.1359,7.6439,4.8192,11.617
30,7.25,13,18,0.85035,1.1359,7.6439,4.8192,11.617
